#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kingdom_of_amazon;Queendom of;;Königinnenreich;;;;;;;;;;;x
kingdoms_amazon;Queendoms;;Königinnenreiche;;;;;;;;;;;x
temple_barony_of_amazon;Temple of;;Tempel;;;;;;;;;;;x
temple_count_of_amazon;Great Temple of;;Großtempel;;;;;;;;;;;x
temple_duchy_of_amazon;Matriarchy of;;Matriarchat;;;;;;;;;;;x
temple_kingdom_of_amazon;Archmatriarchy of;;Erzmatriarchat;;;;;;;;;;;x
temple_empire_of_amazon;Grand Matriarchy of;;Grossmatriarchat;;;;;;;;;;;x
temple_baron_female_amazon;Priestess;;Priesterin;;;;;;;;;;;x
temple_baron_amazon;Priest;;Priester;;;;;;;;;;;
temple_count_female_amazon;Priestess;;Priesterin;;;;;;;;;;;x
temple_count_amazon;Priest;;Priester;;;;;;;;;;;
temple_duke_female_amazon;Matriarch;;Matriarchin;;;;;;;;;;;x
temple_duke_amazon;High Priest;;Hohepriester;;;;;;;;;;;
temple_king_female_amazon;Archmatriarch;;Erzmatriarchin;;;;;;;;;;;x
temple_king_amazon;Archpriest;;Erzpriester;;;;;;;;;;;
temple_emperor_female_amazon;Grand Matriarch;;Großmatriarchin;;;;;;;;;;;x
temple_emperor_amazon;Supreme Priest;;Oberpriester;;;;;;;;;;;
amazon;Amazonian;;Amazonisch;;;;;;;;;;;x
k_Amazonia;Hellenic Amazonia;;Amazonien;;;;;;;;;;;x
k_Amazonia_adj;Amazonian;;Amazonisch;;;;;;;;;;;x
k_amazonia;Hellenic Amazonia;;Amazonien;;;;;;;;;;;x
k_amazonia_adj;Hellenic;;Amazonisch;;;;;;;;;;;x
k_libya_amazonia;Amazonia Libya;;Amazonien;;;;;;;;;;;x
k_libya_amazonia_adj;Amazonian;;Amazonisch;;;;;;;;;;;x
e_amazonia;Amazon Empire;;Amazonien;;;;;;;;;;;x
e_amazonia_adj;Amazonian;;Amazonisch;;;;;;;;;;;x
d_matriarch;Matriarchy;;Matriarchat;;;;;;;;;;;x
d_matriarch_adj;Matriarchal;;Matriarchalisch;;;;;;;;;;;x
AMAZON_MATRIARCH;Matriarch of All Amazons;;Matriarchin Aller Amazonen;;;;;;;;;;;x
AMAZON_MATRIARCH_CONSORT;Matriarch of All Amazons;;Matriarchin Aller Amazonen;;;;;;;;;;;x
AMAZON_MATRIARCH_FOA;Your Holiness;;Eure Heiligkeit;;;;;;;;;;;x
sarmatian;Sarmatian;;Sarmatisch;;;;;;;;;;;x
amazon;Amazonian;;Amazonisch;;;;;;;;;;;x
valkyrie_religion;Valkyrie;;Walkürisch;;;;;;;;;;;x
valkyrie_freyja_religion;Kult der Freyja;;Kult der Freyja;;;;;;;;;;;x
celtic_religion;Celtic;;Keltisch;;;;;;;;;;;x
hellenic_amazon;Amazonian;;Amazonisch;;;;;;;;;;;x
job_spiritual_hellenic_amazon;Oracle;;Orakel;;;;;;;;;;;x
job_marshal_hellenic_amazon;Marshal;;Heerführerin;;;;;;;;;;;x
job_spiritual_celtic_amazon;Priestess;;Priesterin;;;;;;;;;;;x
job_spiritual_valkyrie_amazon;Seeress;;Seherin;;;;;;;;;;;x
hellenic_amazon_DESC;The Hellenic Amazonian religion is polytheistic, with a pantheon of major and minor gods including Zeus, Ares, Apollo, Aphrodite, Athena and Hera, but most focus is primarily on the goddesses rather than their male counterparts. Defining features in-game: \n* Armies can raid settlements\n* Does not suffer from the same penalties as Pagan religions\n* Can attack any nation with male rulers;;The Hellenic Amazonian religion is polytheistic, with a pantheon of major and minor gods including Zeus, Ares, Apollo, Aphrodite, Athena and Hera, but most focus is primarily on the goddesses rather than their male counterparts. Defining features in-game: \n* Armies can raid settlements\n* Does not suffer from the same penalties as Pagan religions\n* Can attack any nation with male rulers;;;;;;;;;;;x
title_amazon_consort;Mate;;Gemahlin;;;;;;;;;;;x
title_amazon_consort_desc;A mate can serve both as a husband and a councillor to a queen. Given amazons often do not have a husband, it is the most prestigious post a male can hope for.;;Ein gemahlin kann als ein gemahl oder einberaten dienen. Weil die konigen hat kein ehemann, es ist der meisten respektabel stelle ein mann kann haben;;;;;;;;;;;x
GOD_HERA;Hera;;Hera;;;;;;;;;;;x
GOD_ATHENA;Athene;;Athene;;;;;;;;;;;x
GOD_ARTEMIS;Artemis;;Artemis;;;;;;;;;;;x
GOD_APHRODITE;Aphrodite;;Aphrodite;;;;;;;;;;;x
GOD_PERSEPHONE;Persephone;;Persephone;;;;;;;;;;;x
GOD_HEPHAESTUS;Hephaestus;;Hephaestus;;;;;;;;;;;x
